data,size,algo,buildtime,querytime,params,recall
hamming,100K,SearchGraph,1.6861208520000002,0.014852992,MinRecall 0.9,0.31858666666666957
pca32,100K,SearchGraph,1.243655693,0.012193905,MinRecall 0.9,0.2828266666666628
pca96,100K,SearchGraph,0.918480595,0.017069192,MinRecall 0.9,0.4612999999999984
hamming,100K,bruteforce,0.0,0.67138307,,0.32783333333333875
pca32,100K,bruteforce,0.0,0.241730503,,0.2896366666666653
pca96,100K,bruteforce,0.0,0.759213851,,0.4947599999999979
hamming,100M,SearchGraph,6290.875546431001,1.074844688,MinRecall 0.9,0.25340333333332843
pca32,100M,SearchGraph,5149.827024089,0.97969011,MinRecall 0.9,0.18358333333333238
pca96,100M,SearchGraph,5722.520775109,1.02002476,MinRecall 0.9,0.4008333333333276
hamming,100M,bruteforce,0.0,529.802799157,,0.26112666666666207
pca32,100M,bruteforce,0.0,438.087344928,,0.19176333333333265
pca96,100M,bruteforce,0.0,1125.559413843,,0.42143999999999643
hamming,10M,SearchGraph,91.537876224,0.132437127,MinRecall 0.9,0.26154333333332863
pca32,10M,SearchGraph,39.660533556,0.074510698,MinRecall 0.9,0.1864633333333322
pca96,10M,SearchGraph,95.458298007,0.107339536,MinRecall 0.9,0.4024833333333277
hamming,10M,bruteforce,0.0,48.874640453,,0.2648533333333292
pca32,10M,bruteforce,0.0,40.87269737,,0.19550999999999918
pca96,10M,bruteforce,0.0,108.145233603,,0.42218333333332714
hamming,300K,SearchGraph,1.1573653970000002,0.01993761,MinRecall 0.9,0.29178333333333273
pca32,300K,SearchGraph,0.641391725,0.015500901,MinRecall 0.9,0.24438666666666295
pca96,300K,SearchGraph,1.003569412,0.029267211,MinRecall 0.9,0.45166666666666516
hamming,300K,bruteforce,0.0,1.263814242,,0.3052300000000013
pca32,300K,bruteforce,0.0,0.943047656,,0.25669333333332955
pca96,300K,bruteforce,0.0,2.319330699,,0.4732599999999985
hamming,30M,SearchGraph,614.884244722,0.30104731,MinRecall 0.9,0.25148666666666364
pca32,30M,SearchGraph,418.92318968800004,0.271724212,MinRecall 0.9,0.18330666666666598
pca96,30M,SearchGraph,566.4058129160001,0.320305146,MinRecall 0.9,0.3996099999999951
hamming,30M,bruteforce,0.0,138.929293575,,0.2587033333333306
pca32,30M,bruteforce,0.0,130.320416202,,0.18997999999999907
pca96,30M,bruteforce,0.0,331.134282658,,0.4181833333333293
