| data | size | recall | querytime (32 cores / 64 threads) |
|------|------|--------|-----------------------|
|hamming|100K|0.3278|0.67s|
|pca32|100K|0.2896|0.24s|
|pca96|100K|0.4948|0.76s|
|hamming|300K|0.3052|1.26s|
|pca32|300K|0.2567|0.94s|
|pca96|300K|0.4733|2.32s|
|hamming|10M|0.2649|48.87s|
|pca32|10M|0.1955|40.87s|
|pca96|10M|0.4222|108.15s|
|hamming|30M|0.2587|138.93s|
|pca32|30M|0.19|130.32s|
|pca96|30M|0.4182|331.13s|
|hamming|100M|0.2611|529.8s|
|pca32|100M|0.1918|438.09s|
|pca96|100M|0.4214|1125.56s|
